# GeoNames cities (population >= 100k) + aliases. CC-BY 4.0, geonames.org
# match_name<TAB>display_name<TAB>lat<TAB>lon<TAB>population
babol	Bābol	36.551	52.6786	202796
bac giang	Bắc Giang	21.2731	106.1946	450000
bac lieu	Bạc Liêu	9.2941	105.7278	156110
bac ninh	Bắc Ninh	21.1861	106.0763	287658
bac quang	Bắc Quang	22.4833	104.8667	118690
bac tu liem	Bắc Từ Liêm	21.0653	105.7466	340605
bacabal	Bacabal	-4.2325	-44.7816	107755
bacau	Bacău	46.5672	26.9138	136087
bachuan	Bachuan	29.8486	106.0505	208520
bacolod city	Bacolod City	10.6667	122.95	454898
bacoor	Bacoor	14.459	120.9385	356974
bacău	Bacău	46.5672	26.9138	136087
badajoz	Badajoz	38.8779	-6.9706	150530
badalona	Badalona	41.45	2.2474	217741
bade	Bade	24.9298	121.2837	209148
badin	Badin	24.656	68.837	117455
badlapur	Badlapur	19.1552	73.2655	174226
bafoussam	Bafoussam	5.4778	10.4176	373268
bagaha	Bagaha	27.0992	84.09	112634
bagalkot	Bagalkot	16.1867	75.6961	111933
bagcilar	Bağcılar	41.039	28.8567	740069
bage	Bagé	-31.3314	-54.1069	121335
bagerhat	Bagerhat	22.6566	89.7912	266388
baghdad	Baghdad	33.3406	44.4009	7216000
baghlan	Baghlān	36.1307	68.7083	108449
baghlān	Baghlān	36.1307	68.7083	108449
bago	Bago	17.3352	96.4814	244376
bago city	Bago City	10.5333	122.8333	192993
bagong silang	Bagong Silang	14.7783	121.0449	261729
bagong silangan	Bagong Silangan	14.706	121.108	106886
bagram	Bagrām	34.9669	69.265	113173
bagrām	Bagrām	34.9669	69.265	113173
baguio	Baguio	16.4164	120.5931	272714
bagé	Bagé	-31.3314	-54.1069	121335
bahadurgarh	Bahadurgarh	28.6929	76.9356	170767
baharampur	Baharampur	24.1047	88.2515	180547
baharestan	Bahārestān	32.4881	51.7731	106433
baharkah	Baḥarkah	36.3156	44.0353	130518
bahawalnagar	Bahawalnagar	29.9983	73.2527	241873
bahawalpur	Bahawalpur	29.3978	71.6752	903795
bahcelievler	Bahçelievler	41.0023	28.8598	576799
bahia blanca	Bahía Blanca	-38.7176	-62.2655	299101
bahir dar	Bahir Dar	11.5936	37.3908	350000
